ID,First_name,Last_name,DOB,Playing_type,Country_code
527663,Jagadeesha,Suchith,1994-01-16T00:00Z,"Left-hand bat,Slow left-arm orthodox",6
53116,Lendl,Simmons,1985-01-25T00:00Z,"Right-hand bat,Right-arm medium-fast",4
28081,MS,Dhoni,1981-07-07T00:00Z,"Right-hand bat,Right-arm medium",6
276298,Andre,Russell,1988-04-29T00:00Z,"Right-hand bat,Right-arm fast",4
625371,Hardik,Pandya,1993-10-11T00:00Z,"Right-hand bat,Right-arm medium-fast",6
5939,Michael,Hussey,1975-05-27T00:00Z,"Left-hand bat,Right-arm medium",2
44828,Faf,Plessis,1984-07-13T00:00Z,"Right-hand bat,Legbreak",3
15383,Richard,Illingworth,1963-08-23T00:00Z,"Right-hand bat,Slow left-arm orthodox",1
33141,Ambati,Rayudu,1985-09-23T00:00Z,"Right-hand bat,Right-arm offbreak",6
49758,Lasith,Malinga,1983-08-28T00:00Z,"Right-hand bat,Right-arm fast",8
319439,Mitchell,McClenaghan,1986-06-11T00:00Z,"Left-hand bat,Left-arm fast-medium",5
234675,Ravindra,Jadeja,1988-12-06T00:00Z,"Left-hand bat,Slow left-arm orthodox",6
51439,Dwayne,Bravo,1983-10-07T00:00Z,"Right-hand bat,Right-arm medium",4
53118,Dwayne,Smith,1983-04-12T00:00Z,"Right-hand bat,Right-arm medium",4
26421,Ravichandran,Ashwin,1986-09-17T00:00Z,"Right-hand bat,Right-arm offbreak",6
391584,Vineet,Kulkarni,1979-10-06T00:00Z,,6
31919,Nandan,Nandan,1963-10-14T00:00Z,,6
35731,Vinay,Kumar,1984-02-12T00:00Z,"Right-hand bat,Right-arm medium",6
230559,Kieron,Pollard,1987-05-12T00:00Z,"Right-hand bat,Right-arm medium",4
32242,Parthiv,Patel,1985-03-09T00:00Z,"Left-hand bat,Right-arm offbreak",6
29264,Harbhajan,Singh,1980-07-03T00:00Z,"Right-hand bat,Right-arm offbreak",6
537119,Mohit,Sharma,1988-09-18T00:00Z,"Right-hand bat,Right-arm medium",6
34102,Rohit,Sharma,1987-04-30T00:00Z,"Right-hand bat,Right-arm offbreak",6
530773,Pawan,Negi,1993-01-06T00:00Z,"Left-hand bat,Slow left-arm orthodox",6
33335,Suresh,Raina,1986-11-27T00:00Z,"Left-hand bat,Right-arm offbreak",6
48469,Kumar,Dharmasena,1971-04-24T00:00Z,"Right-hand bat,Right-arm offbreak",8
49623,Ranjan,Madugalle,1959-04-22T00:00Z,"Right-hand bat,Right-arm offbreak",8
31820,Ashish,Nehra,1979-04-29T00:00Z,"Right-hand bat,Left-arm medium-fast",6
30045,Dinesh,Karthik,1985-06-01T00:00Z,"Right-hand bat,Right-arm offbreak",6
37097,Chris,Gaffaney,1975-11-30T00:00Z,Right-hand bat,5
51880,Chris,Gayle,1979-09-21T00:00Z,"Left-hand bat,Right-arm offbreak",4
390481,Harshal,Patel,1990-11-23T00:00Z,"Right-hand bat,Right-arm medium",6
44936,AB,Villiers,1984-02-17T00:00Z,"Right-hand bat,Right-arm medium",3
398506,Mandeep,Singh,1991-12-18T00:00Z,"Right-hand bat,Right-arm medium",6
340535,Chettithody,Shamshuddin,1970-03-22T00:00Z,,6
49626,Roshan,Mahanama,1966-05-31T00:00Z,Right-hand bat,8
290632,Sreenath,Aravind,1984-04-08T00:00Z,"Left-hand bat,Left-arm medium-fast",6
642525,Sarfaraz,Khan,1997-10-22T00:00Z,"Right-hand bat,Legbreak",6
265839,Anil,Chaudhary,1965-03-12T00:00Z,,6
253802,Virat,Kohli,1988-11-05T00:00Z,"Right-hand bat,Right-arm medium",6
221140,David,Wiese,1985-05-18T00:00Z,"Right-hand bat,Right-arm medium-fast",28
430246,Yuzvendra,Chahal,1990-07-23T00:00Z,"Right-hand bat,Legbreak googly",6
34243,Krishnaraj,Srinath,1969-11-23T00:00Z,"Right-hand bat,Right-arm offbreak",6
311592,Mitchell,Starc,1990-01-30T00:00Z,"Left-hand bat,Left-arm fast",2
